home_team,away_team,home_odds,draw_odds,away_odds,winning_outcome,winning_odd
Wolves,Bournemouth,2.7,3.45,2.6,Away,2.6
Brighton,Southampton,1.38,5.44,7.18,Draw,5.44
Newcastle,West Ham,1.47,4.73,6.46,Away,6.46
Ipswich,Manchester Utd,5.07,4.13,1.65,Draw,4.13
Southampton,Liverpool,9.38,5.65,1.31,Away,1.31
Manchester City,Tottenham,1.42,5.11,6.76,Away,6.76
Arsenal,Nottingham,1.39,4.82,8.52,Home,1.39
Aston Villa,Crystal Palace,1.72,3.9,4.99,Draw,3.9
Bournemouth,Brighton,2.43,3.58,2.87,Away,2.87
Everton,Brentford,2.37,3.41,3.08,Draw,3.41
Fulham,Wolves,1.58,4.3,5.58,Away,5.58
Leicester,Chelsea,6.73,4.8,1.46,Away,1.46
Chelsea,Arsenal,2.95,3.36,2.5,Draw,3.36
Manchester Utd,Leicester,1.33,5.63,8.86,Home,1.33
Nottingham,Newcastle,2.74,3.31,2.66,Away,2.66
Tottenham,Ipswich,1.25,6.6,10.39,Away,10.39
Liverpool,Aston Villa,1.46,4.71,6.68,Home,1.46
Brighton,Manchester City,4.11,4.11,1.8,Home,4.11
Brentford,Bournemouth,2.59,3.54,2.67,Home,2.59
Crystal Palace,Fulham,3.29,3.29,2.27,Away,2.27
West Ham,Everton,2.16,3.44,3.48,Draw,3.44
Wolves,Southampton,1.94,3.73,3.89,Home,1.94
Fulham,Brentford,2.0,3.72,3.64,Home,2.0
Manchester Utd,Chelsea,2.63,3.62,2.58,Draw,3.62
Tottenham,Aston Villa,1.94,4.0,3.54,Home,1.94
Wolves,Crystal Palace,2.41,3.31,3.04,Draw,3.31
Bournemouth,Manchester City,5.88,4.42,1.54,Home,5.88
Ipswich,Leicester,2.35,3.56,2.97,Draw,3.56
Liverpool,Brighton,1.37,5.51,7.48,Home,1.37
Nottingham,West Ham,2.02,3.45,3.82,Home,2.02
Southampton,Everton,2.68,3.29,2.7,Home,2.68
Newcastle,Arsenal,3.95,3.59,1.96,Home,3.95
Arsenal,Liverpool,2.23,3.38,3.31,Draw,3.38
Chelsea,Newcastle,1.78,4.05,4.22,Home,1.78
Crystal Palace,Tottenham,3.71,3.93,1.93,Home,3.71
West Ham,Manchester Utd,3.33,3.7,2.12,Home,3.33
Everton,Fulham,2.68,3.35,2.69,Draw,3.35
Aston Villa,Bournemouth,1.79,3.92,4.34,Draw,3.92
Brentford,Ipswich,1.64,4.17,5.05,Home,1.64
Brighton,Wolves,1.56,4.34,5.63,Draw,4.34
Manchester City,Southampton,1.12,10.08,20.42,Home,1.12
Leicester,Nottingham,2.96,3.37,2.44,Away,2.44
Nottingham,Crystal Palace,2.36,3.29,3.18,Home,2.36
Liverpool,Chelsea,1.69,4.41,4.5,Home,1.69
Wolves,Manchester City,8.23,5.54,1.35,Away,1.35
Bournemouth,Arsenal,4.84,3.72,1.77,Home,4.84
Fulham,Aston Villa,2.49,3.44,2.89,Away,2.89
Ipswich,Everton,2.41,3.41,3.0,Away,3.0
Manchester Utd,Brentford,1.66,4.3,4.88,Home,1.66
Newcastle,Brighton,1.74,4.07,4.61,Away,4.61
Southampton,Leicester,2.2,3.5,3.36,Away,3.36
Tottenham,West Ham,1.44,5.28,6.05,Home,1.44
Brighton,Tottenham,2.91,3.91,2.25,Home,2.91
Aston Villa,Manchester Utd,2.2,3.86,3.04,Draw,3.86
Chelsea,Nottingham,1.49,4.59,6.4,Draw,4.59
Everton,Newcastle,3.68,3.73,1.98,Draw,3.73
Arsenal,Southampton,1.17,7.84,16.37,Home,1.17
Brentford,Wolves,2.06,3.57,3.54,Home,2.06
Leicester,Bournemouth,3.56,3.8,2.02,Home,3.56
Manchester City,Fulham,1.26,6.41,10.96,Home,1.26
West Ham,Ipswich,1.91,3.78,4.0,Home,1.91
Crystal Palace,Liverpool,5.05,4.08,1.67,Away,1.67
Bournemouth,Southampton,1.5,4.51,6.45,Home,1.5
Manchester Utd,Tottenham,2.1,3.83,3.21,Away,3.21
Ipswich,Aston Villa,3.59,3.57,2.06,Draw,3.57
Wolves,Liverpool,8.49,5.93,1.32,Away,1.32
Arsenal,Leicester,1.19,7.03,15.8,Home,1.19
Brentford,West Ham,2.21,3.56,3.21,Draw,3.56
Chelsea,Brighton,1.78,4.15,4.16,Home,1.78
Everton,Crystal Palace,2.74,3.31,2.66,Home,2.74
Nottingham,Fulham,2.56,3.15,2.97,Away,2.97
Newcastle,Manchester City,4.97,4.15,1.66,Draw,4.15
Manchester City,Arsenal,1.8,3.58,4.84,Draw,3.58
Brighton,Nottingham,1.84,3.73,4.37,Draw,3.73
Crystal Palace,Manchester Utd,2.86,3.54,2.41,Draw,3.54
Aston Villa,Wolves,1.64,4.19,5.08,Home,1.64
Fulham,Newcastle,2.92,3.52,2.42,Home,2.92
Leicester,Everton,2.1,3.5,3.59,Draw,3.5
Liverpool,Bournemouth,1.25,6.69,10.36,Home,1.25
Southampton,Ipswich,2.44,3.44,2.94,Draw,3.44
Tottenham,Brentford,1.47,4.94,6.16,Home,1.47
West Ham,Chelsea,3.5,3.87,2.0,Away,2.0
Wolves,Newcastle,3.58,3.63,2.04,Away,2.04
Tottenham,Arsenal,2.73,3.48,2.56,Away,2.56
Bournemouth,Chelsea,3.1,3.74,2.2,Away,2.2
Aston Villa,Everton,1.67,3.9,5.28,Home,1.67
Brighton,Ipswich,1.48,4.63,6.4,Draw,4.63
Crystal Palace,Leicester,1.67,3.91,5.3,Draw,3.91
Fulham,West Ham,2.31,3.37,3.15,Draw,3.37
Liverpool,Nottingham,1.22,6.78,12.17,Away,12.17
Manchester City,Brentford,1.2,7.46,13.8,Home,1.2
Southampton,Manchester Utd,4.13,4.04,1.81,Away,1.81
Manchester Utd,Liverpool,3.6,4.11,1.93,Away,1.93
Chelsea,Crystal Palace,1.65,4.28,4.96,Draw,4.28
Newcastle,Tottenham,2.48,3.9,2.59,Home,2.48
West Ham,Manchester City,7.51,5.18,1.4,Away,1.4
Brentford,Southampton,1.81,3.85,4.4,Home,1.81
Everton,Bournemouth,2.99,3.43,2.42,Away,2.42
Ipswich,Fulham,3.04,3.38,2.4,Draw,3.38
Leicester,Aston Villa,4.04,3.79,1.88,Away,1.88
Nottingham,Wolves,1.99,3.62,3.76,Draw,3.62
Arsenal,Brighton,1.36,5.34,7.95,Draw,5.34
Liverpool,Brentford,1.22,7.3,12.4,Home,1.22
Bournemouth,Newcastle,2.58,3.63,2.63,Draw,3.63
Wolves,Chelsea,3.86,3.89,1.91,Away,1.91
Aston Villa,Arsenal,4.68,3.99,1.72,Away,1.72
Crystal Palace,West Ham,1.96,3.84,3.72,Away,3.72
Fulham,Leicester,1.88,3.73,4.13,Home,1.88
Manchester City,Ipswich,1.1,10.4,27.6,Home,1.1
Southampton,Nottingham,2.31,3.52,3.06,Away,3.06
Tottenham,Everton,1.36,5.43,7.84,Home,1.36
Brighton,Manchester Utd,2.35,3.74,2.88,Home,2.35
Leicester,Tottenham,4.53,4.25,1.72,Draw,4.25
Chelsea,Manchester City,3.68,3.86,1.98,Away,1.98
Brentford,Crystal Palace,2.85,3.29,2.6,Home,2.85
West Ham,Aston Villa,2.46,3.49,2.84,Away,2.84
Arsenal,Wolves,1.15,8.61,17.7,Home,1.15
Everton,Brighton,3.08,3.37,2.37,Away,2.37
Newcastle,Southampton,1.39,5.26,7.3,Home,1.39
Nottingham,Bournemouth,2.25,3.42,3.25,Draw,3.42
Ipswich,Liverpool,7.91,5.88,1.34,Away,1.34
Manchester Utd,Fulham,1.66,4.21,5.03,Home,1.66
Arsenal,Everton,1.21,7.21,12.65,Home,1.21
Brentford,Newcastle,2.93,4.0,2.2,Away,2.2
Brighton,Manchester Utd,2.6,3.98,2.45,Away,2.45
Burnley,Nottingham,2.85,3.78,2.33,Away,2.33
Chelsea,Bournemouth,1.38,5.49,6.99,Home,1.38
Crystal Palace,Aston Villa,1.6,4.51,4.72,Home,1.6
Liverpool,Wolves,1.13,9.98,16.45,Home,1.13
Luton,Fulham,3.04,3.89,2.19,Away,2.19
Manchester City,West Ham,1.07,14.06,25.94,Home,1.07
Sheffield Utd,Tottenham,7.8,5.9,1.34,Away,1.34
Manchester Utd,Newcastle,2.7,3.9,2.41,Home,2.7
Brighton,Chelsea,3.21,4.05,2.04,Away,2.04
Tottenham,Manchester City,6.83,6.05,1.37,Away,1.37
Aston Villa,Liverpool,3.78,4.55,1.78,Draw,4.55
Manchester Utd,Arsenal,8.35,5.94,1.32,Away,1.32
Nottingham,Chelsea,3.93,3.94,1.86,Away,1.86
Bournemouth,Brentford,2.1,3.82,3.25,Away,3.25
Everton,Sheffield Utd,1.41,5.09,7.14,Home,1.41
Newcastle,Brighton,1.57,4.72,5.09,Draw,4.72
Tottenham,Burnley,1.32,6.23,7.84,Home,1.32
West Ham,Luton,1.84,4.25,3.74,Home,1.84
Wolves,Crystal Palace,3.19,3.54,2.25,Away,2.25
Fulham,Manchester City,11.88,7.07,1.22,Away,1.22
Crystal Palace,Manchester Utd,2.08,3.86,3.34,Home,2.08
Liverpool,Tottenham,1.44,5.61,5.82,Home,1.44
Brighton,Aston Villa,2.52,3.76,2.64,Home,2.52
Chelsea,West Ham,1.53,4.99,5.4,Home,1.53
Manchester City,Wolves,1.09,12.21,22.2,Home,1.09
Brentford,Fulham,2.06,3.8,3.35,Draw,3.8
Burnley,Newcastle,3.38,4.05,1.99,Away,1.99
Sheffield Utd,Nottingham,4.92,4.19,1.67,Away,1.67
Arsenal,Bournemouth,1.2,7.08,12.8,Home,1.2
Luton,Everton,2.75,3.6,2.49,Draw,3.6
Chelsea,Tottenham,2.41,4.0,2.66,Home,2.41
Nottingham,Manchester City,10.8,5.98,1.28,Away,1.28
Bournemouth,Brighton,1.94,4.11,3.5,Home,1.94
Tottenham,Arsenal,4.34,4.15,1.74,Away,1.74
Aston Villa,Chelsea,2.06,3.91,3.33,Draw,3.91
Everton,Brentford,2.92,3.41,2.46,Home,2.92
Fulham,Crystal Palace,2.1,3.45,3.59,Draw,3.45
Manchester Utd,Burnley,1.51,5.12,5.59,Draw,5.12
Newcastle,Sheffield Utd,1.21,7.35,11.41,Home,1.21
Wolves,Luton,1.9,3.81,3.89,Home,1.9
West Ham,Liverpool,5.26,4.74,1.55,Draw,4.74
Brighton,Manchester City,7.86,5.65,1.35,Away,1.35
Crystal Palace,Newcastle,3.06,3.64,2.25,Home,3.06
Everton,Liverpool,7.46,5.15,1.39,Home,7.46
Manchester Utd,Sheffield Utd,1.31,6.2,8.59,Home,1.31
Wolves,Bournemouth,2.77,3.65,2.44,Away,2.44
Arsenal,Chelsea,1.4,5.07,7.46,Home,1.4
Fulham,Liverpool,4.55,4.43,1.67,Away,1.67
Aston Villa,Bournemouth,1.84,4.05,3.98,Home,1.84
Crystal Palace,West Ham,2.23,3.48,3.25,Home,2.23
Everton,Nottingham,2.27,3.29,3.37,Home,2.27
Wolves,Arsenal,11.25,6.12,1.26,Away,1.26
Luton,Brentford,2.87,3.57,2.4,Away,2.4
Sheffield Utd,Burnley,2.63,3.48,2.65,Away,2.65
Chelsea,Everton,1.67,4.09,4.99,Home,1.67
Arsenal,Aston Villa,1.25,6.4,10.8,Away,10.8
Liverpool,Crystal Palace,1.2,7.7,13.25,Away,13.25
West Ham,Fulham,2.43,3.58,2.85,Away,2.85
Bournemouth,Manchester Utd,2.39,4.03,2.67,Draw,4.03
Brentford,Sheffield Utd,1.49,4.76,6.01,Home,1.49
Burnley,Brighton,3.79,3.94,1.9,Draw,3.94
Manchester City,Luton,1.08,12.6,23.0,Home,1.08
Nottingham,Wolves,2.06,3.47,3.65,Draw,3.47
Newcastle,Tottenham,2.65,3.94,2.43,Home,2.65
Tottenham,Nottingham,1.43,5.23,6.51,Home,1.43
